"","survey","event_id","EQLatitude","EQLongitude"
"1",202104,23,"55.9989016667","-154.819453333"
"2",202104,28,"56.8752216667","-151.474728333"
"3",202104,7,"54.3724283333","-160.797018333"
"4",202104,8,"54.488315","-159.649273333"
"5",202104,2,"53.7826083333","-165.246338333"
"6",202104,4,"54.015365","-162.997831667"
"7",202104,9,"55.05606","-160.359243333"
"8",202104,32,"56.5567633333","-152.414001667"
"9",202104,33,"56.7009616667","-152.69245"
"10",202104,6,"54.1897633333","-161.92475"
"11",202104,55,"58.6969533333","-150.657515"
"12",202104,62,"59.7441083333","-147.090786667"
"13",202104,51,"57.5571283333","-150.27104"
"14",202104,13,"55.465875","-159.691436667"
"15",202104,19,"55.4188766667","-157.309738333"
"16",202104,20,"55.3254733333","-156.118801667"
"17",202104,10,"55.3197633333","-160.210195"
"18",202104,15,"54.6176983333","-158.496858333"
"19",202104,16,"54.864685","-157.706463333"
"20",202104,11,"55.2294416667","-160.171968333"
"21",202104,35,"57.1916866667","-152.350608333"
"22",202104,53,"58.2640583333","-150.082088333"
"23",202104,17,"54.8670533333","-157.679193333"
"24",202104,22,"55.652495","-155.45581"
"25",202104,36,"57.2785283333","-152.527803333"
"26",202104,48,"57.6151616667","-151.883791667"
"27",202104,65,"59.5494183333","-144.490215"
"28",202104,58,"59.8542316667","-148.731611667"
"29",202104,63,"59.9459566667","-147.091248333"
"30",202104,25,"55.9432183333","-153.647448333"
"31",202104,68,"59.2695716667","-141.871071667"
"32",202104,47,"57.4472216667","-151.395455"
"33",202104,52,"58.1197533333","-149.891495"
"34",202104,54,"58.4687816667","-150.362625"
"35",202104,56,"58.1208","-148.797168333"
"36",202104,59,"59.618455","-148.362005"
"37",202104,60,"59.0969516667","-147.64363"
"38",202104,18,"55.82358","-157.819005"
"39",202104,26,"56.2704233333","-152.958176667"
"40",202104,38,"58.7312916667","-152.710553333"
"41",202104,40,"57.9726483333","-153.920885"
"42",202104,41,"57.3178466667","-155.442175"
"43",202104,43,"56.7746783333","-156.235205"
"44",202104,45,"56.1121533333","-156.542528333"
"45",202104,46,"55.6590133333","-156.066881667"
"46",202104,49,"58.42809","-151.493915"
"47",202104,50,"58.16793","-151.096626667"
"48",202104,1,"53.7315","-165.2337"
"49",202104,14,"55.34704","-159.004695"
"50",202104,21,"55.4289833333","-156.245128333"
"51",202104,29,"56.3049633333","-152.506543333"
"52",202104,30,"56.4659283333","-152.328793333"
"53",202104,34,"57.11963","-152.750361667"
"54",202104,3,"53.7663083333","-164.02422"
"55",202104,5,"54.0743816667","-161.826068333"
"56",202104,27,"56.6660266667","-153.458945"
"57",202104,39,"58.4571666667","-153.050158333"
"58",202104,42,"57.0873833333","-156.04791"
"59",202104,31,"56.6321816667","-152.577581667"
"60",202104,57,"59.0337983333","-148.764046667"
"61",202104,61,"60.1329833333","-147.091095"
"62",202104,64,"59.550535","-145.772411667"
"63",202104,66,"59.6503233333","-143.180188333"
"64",202104,67,"59.4800533333","-140.560171667"
"65",202104,24,"56.2005633333","-153.981148333"
"66",202104,37,"57.4424183333","-152.64272"
"67",202104,44,"56.3637183333","-156.075328333"
