SURVEY,SHIP,DATA_SET_ID,ANALYIS,LENGTH_WEIGHT_KEY,LENGTH,WEIGHT
202408,157,1,1,1,1,6.43518E-06
202408,157,1,1,1,2,5.17422E-05
202408,157,1,1,1,3,0.000175147
202408,157,1,1,1,4,0.000416035
202408,157,1,1,1,5,0.00081389
202408,157,1,1,1,6,0.001408273
202408,157,1,1,1,7,0.0022388
202408,157,1,1,1,8,0.003345136
202408,157,1,1,1,9,0.00476699
202408,157,1,1,1,10,0.006544105
202408,157,1,1,1,11,0.01
202408,157,1,1,1,12,0.011621622
202408,157,1,1,1,13,0.014113208
202408,157,1,1,1,14,0.017845361
202408,157,1,1,1,15,0.021492537
202408,157,1,1,1,16,0.02632
202408,157,1,1,1,17,0.032
202408,157,1,1,1,18,0.036875
202408,157,1,1,1,19,0.044555556
202408,157,1,1,1,20,0.0536
202408,157,1,1,1,21,0.061170213
202408,157,1,1,1,22,0.070474576
202408,157,1,1,1,23,0.080183673
202408,157,1,1,1,24,0.089666667
202408,157,1,1,1,25,0.101388889
202408,157,1,1,1,26,0.115894737
202408,157,1,1,1,27,0.134222222
202408,157,1,1,1,28,0.146428571
202408,157,1,1,1,29,0.164272727
202408,157,1,1,1,30,0.179933333
202408,157,1,1,1,31,0.201785714
202408,157,1,1,1,32,0.222307692
202408,157,1,1,1,33,0.24584
202408,157,1,1,1,34,0.2631875
202408,157,1,1,1,35,0.295666667
202408,157,1,1,1,36,0.313916667
202408,157,1,1,1,37,0.347888889
202408,157,1,1,1,38,0.37837
202408,157,1,1,1,39,0.407335821
202408,157,1,1,1,40,0.431579787
202408,157,1,1,1,41,0.459701342
202408,157,1,1,1,42,0.493171831
202408,157,1,1,1,43,0.518531148
202408,157,1,1,1,44,0.560601563
202408,157,1,1,1,45,0.598904545
202408,157,1,1,1,46,0.636242938
202408,157,1,1,1,47,0.679451923
202408,157,1,1,1,48,0.7201125
202408,157,1,1,1,49,0.749469697
202408,157,1,1,1,50,0.753611111
202408,157,1,1,1,51,0.854939394
202408,157,1,1,1,52,0.848533333
202408,157,1,1,1,53,0.900153846
202408,157,1,1,1,54,1.027352941
202408,157,1,1,1,55,1.03875
202408,157,1,1,1,56,1.272
202408,157,1,1,1,57,1.227396108
202408,157,1,1,1,58,1.29329981
202408,157,1,1,1,59,1.361524263
202408,157,1,1,1,60,1.432109774
202408,157,1,1,1,61,1.505096656
202408,157,1,1,1,62,1.580525224
202408,157,1,1,1,63,1.658435802
202408,157,1,1,1,64,1.738868715
202408,157,1,1,1,65,1.821864295
202408,157,1,1,1,66,1.907462878
202408,157,1,1,1,67,1.995704803
202408,157,1,1,1,68,2.086630417
202408,157,1,1,1,69,2.180280067
202408,157,1,1,1,70,2.276694108
202408,157,1,1,1,71,2.375912898
202408,157,1,1,1,72,2.477976797
202408,157,1,1,1,73,2.582926173
202408,157,1,1,1,74,2.690801396
202408,157,1,1,1,75,2.801642839
202408,157,1,1,1,76,2.915490882
202408,157,1,1,1,77,3.032385906
202408,157,1,1,1,78,3.152368297
202408,157,1,1,1,79,3.275478446
202408,157,1,1,1,80,3.401756745
202408,157,1,1,1,81,3.531243592
202408,157,1,1,1,82,3.663979388
202408,157,1,1,1,83,3.800004539
202408,157,1,1,1,84,3.939359451
202408,157,1,1,1,85,4.082084537
202408,157,1,1,1,86,4.228220213
202408,157,1,1,1,87,4.377806896
202408,157,1,1,1,88,4.53088501
202408,157,1,1,1,89,4.68749498
202408,157,1,1,1,90,4.847677234
202408,157,1,1,1,91,5.011472205
202408,157,1,1,1,92,5.178920329
202408,157,1,1,1,93,5.350062045
202408,157,1,1,1,94,5.524937793
202408,157,1,1,1,95,5.70358802
202408,157,1,1,1,96,5.886053174
202408,157,1,1,1,97,6.072373706
202408,157,1,1,1,98,6.26259007
202408,157,1,1,1,99,6.456742725
202408,157,1,1,1,100,6.65487213
